"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f2', 20, -10, 10, 100, 250, 25000]",2.65,1.506127335452054e-104
"['f2', 20, -10, 10, 100, 300, 30000]",3.23,1.3639636963515464e-102
"['f2', 20, -10, 10, 200, 150, 30000]",3.16,2.0121355717872387e-80
"['f2', 20, -100, 100, 100, 250, 25000]",2.9,5.592204671326907e-19
"['f2', 20, -100, 100, 100, 300, 30000]",3.39,8.185593403587351e-23
"['f2', 20, -100, 100, 200, 150, 30000]",3.42,7.629084554459274e-20
"['f2', 30, -10, 10, 100, 250, 25000]",2.65,4.6336924770236436e-92
"['f2', 30, -10, 10, 100, 300, 30000]",3.47,3.5621551547327726e-106
"['f2', 30, -10, 10, 200, 150, 30000]",3.38,9.055652534616045e-69
"['f2', 30, -100, 100, 100, 250, 25000]",2.88,3.1723189720448614e-22
"['f2', 30, -100, 100, 100, 300, 30000]",3.66,1.8598457614970713e-20
"['f2', 30, -100, 100, 200, 150, 30000]",3.89,1.405286618171064e-20
"['f2', 50, -10, 10, 100, 250, 25000]",3.05,9.514081152158856e-97
"['f2', 50, -10, 10, 100, 300, 30000]",3.66,7.524076260682558e-111
"['f2', 50, -10, 10, 200, 150, 30000]",3.86,6.409482687256879e-69
"['f2', 50, -100, 100, 100, 250, 25000]",3.46,3.2400841783642566e-19
"['f2', 50, -100, 100, 100, 300, 30000]",4.39,2.1657786719665584e-24
"['f2', 50, -100, 100, 200, 150, 30000]",4.38,2.3020006967065797e-17
"['f2', 100, -10, 10, 100, 250, 25000]",3.96,9.768024190724761e-92
"['f2', 100, -10, 10, 100, 300, 30000]",4.63,1.2870283308558904e-108
"['f2', 100, -10, 10, 200, 150, 30000]",4.63,5.615651564156076e-68
"['f2', 100, -100, 100, 100, 250, 25000]",4.82,4.25459464415809e-17
"['f2', 100, -100, 100, 100, 300, 30000]",5.78,2.935411060393221e-20
"['f2', 100, -100, 100, 200, 150, 30000]",6.06,2.0113340993384702e-20
